Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
PURANDAR,202,VIJAYBAPU SHIVTARE,Shiv Sena,SANJAY CHANDUKAKA JAGTAP,Indian National Congress,24188
BHOR,203,SHANKAR HIRAMAN MANDEKAR,Nationalist Congress Party,SANGRAM ANANTRAO THOPATE,Indian National Congress,19638
MAVAL,204,SUNIL SHANKARRAO SHELKE,Nationalist Congress Party,ANNA ALIAS BAPU JAYWANTRAO BHEGADE,Independent,108565
CHINCHWAD,205,JAGTAP SHANKAR PANDURANG,Bharatiya Janata Party,KALATE RAHUL TANAJI,Nationalist Congress Party – Sharadchandra Pawar,103865
PIMPRI,206,ANNA DADU BANSODE,Nationalist Congress Party,DR. SULAKSHANA SHILWANT-DHAR,Nationalist Congress Party – Sharadchandra Pawar,36664
BHOSARI,207,MAHESH (DADA) KISAN LANDGE,Bharatiya Janata Party,AJIT DAMODAR GAVHANE,Nationalist Congress Party – Sharadchandra Pawar,63765
VADGAON SHERI,208,BAPUSAHEB TUKARAM PATHARE,Nationalist Congress Party – Sharadchandra Pawar,SUNIL VIJAY TINGRE,Nationalist Congress Party,4710
SHIVAJINAGAR,209,SIDDHARTH ANIL SHIROLE,Bharatiya Janata Party,DATTA BAHIRAT,Indian National Congress,36702
KOTHRUD,210,CHANDRAKANT (DADA) BACHHU PATIL,Bharatiya Janata Party,CHANDRAKANT BALBHIM MOKATE,Shiv Sena (Uddhav Balasaheb Thackeray),112041
KHADAKWASALA,211,BHIMRAO DHONDIBA TAPKIR,Bharatiya Janata Party,DODKE SACHIN SHIVAJIRAO,Nationalist Congress Party – Sharadchandra Pawar,52322
PARVATI,212,MADHURI SATISH MISAL,Bharatiya Janata Party,ASHWINI NITIN KADAM,Nationalist Congress Party – Sharadchandra Pawar,54660
HADAPSAR,213,CHETAN VITTHAL TUPE,Nationalist Congress Party,PRASHANT SUDAM JAGTAP,Nationalist Congress Party – Sharadchandra Pawar,7122
PUNE CANTONMENT,214,KAMBLE SUNIL DYANDEV,Bharatiya Janata Party,BAGWE RAMESH ANANDRAO,Indian National Congress,10320
KASBA PETH,215,HEMANT NARAYAN RASANE,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,19423
AKOLE,216,DR. KIRAN YAMAJI LAHAMATE,Nationalist Congress Party,AMIT ASHOK BHANGARE,Nationalist Congress Party – Sharadchandra Pawar,5556
SANGAMNER,217,AMOL DHONDIBA KHATAL,Shiv Sena,BALASAHEB BHAUSAHEB THORAT,Indian National Congress,10560
SHIRDI,218,PATIL VIKHE RADHAKRUSHNA EKNATHRAO,Bharatiya Janata Party,PRABHAVATI JANARDAN GHOGARE,Indian National Congress,70282
KOPARGAON,219,ASHUTOSH ASHOKRAO KALE,Nationalist Congress Party,VARPE SANDEEP GORAKSHANATH,Nationalist Congress Party – Sharadchandra Pawar,124624
SHRIRAMPUR,220,OGALE HEMANT BHUJANGRAO,Indian National Congress,BHAUSAHEB MALHARI KAMBLE,Shiv Sena,13373
NEVASA,221,VITTHAL VAKILRAO LANGHE,Shiv Sena,GADAKH SHANKARRAO YASHWANTRAO,Shiv Sena (Uddhav Balasaheb Thackeray),4021
SHEVGAON,222,MONICA RAJEEV RAJALE,Bharatiya Janata Party,ADV. DHAKNE PRATAPRAO BABANRAO,Nationalist Congress Party – Sharadchandra Pawar,19043
RAHURI,223,KARDILE SHIVAJI BHANUDAS,Bharatiya Janata Party,PRAJAKT PRASADRAO TANPURE,Nationalist Congress Party – Sharadchandra Pawar,34487
PARNER,224,KASHINATH MAHADU DATE SIR,Nationalist Congress Party,RANI NILESH LANKE,Nationalist Congress Party – Sharadchandra Pawar,1526
